[s],CH1[V],CH2[V]
-1.0587E-01,-6.100E+00,8.000E-02
-1.0583E-01,-5.900E+00,8.000E-02
-1.0579E-01,-5.700E+00,1.600E-01
-1.0575E-01,-5.900E+00,8.000E-02
-1.0571E-01,-5.700E+00,8.000E-02
-1.0567E-01,-5.900E+00,8.000E-02
-1.0563E-01,-6.100E+00,1.600E-01
-1.0559E-01,-5.900E+00,8.000E-02
-1.0555E-01,-5.900E+00,8.000E-02
-1.0551E-01,-5.900E+00,8.000E-02
-1.0547E-01,-5.900E+00,1.600E-01
-1.0543E-01,-5.900E+00,8.000E-02
-1.0539E-01,-5.700E+00,8.000E-02
-1.0535E-01,-5.900E+00,8.000E-02
-1.0531E-01,-5.900E+00,8.000E-02
-1.0527E-01,-5.900E+00,8.000E-02
-1.0523E-01,-5.900E+00,8.000E-02
-1.0519E-01,-5.900E+00,2.191E-14
-1.0515E-01,-6.100E+00,8.000E-02
-1.0511E-01,-5.900E+00,8.000E-02
-1.0507E-01,-5.700E+00,1.600E-01
-1.0503E-01,-5.700E+00,8.000E-02
-1.0499E-01,-5.900E+00,8.000E-02
-1.0495E-01,-5.900E+00,2.191E-14
-1.0491E-01,-5.900E+00,8.000E-02
-1.0487E-01,-6.100E+00,8.000E-02
-1.0483E-01,-5.900E+00,8.000E-02
-1.0479E-01,-6.100E+00,8.000E-02
-1.0475E-01,-6.100E+00,2.191E-14
-1.0471E-01,-6.100E+00,2.191E-14
-1.0467E-01,-5.700E+00,8.000E-02
-1.0463E-01,-5.900E+00,1.600E-01
-1.0459E-01,-5.900E+00,1.600E-01
-1.0455E-01,-5.900E+00,2.191E-14
-1.0451E-01,-5.900E+00,1.600E-01
-1.0447E-01,-5.900E+00,2.191E-14
-1.0443E-01,-6.100E+00,8.000E-02
-1.0439E-01,-6.100E+00,2.191E-14
-1.0435E-01,-6.100E+00,-8.000E-02
-1.0431E-01,-6.100E+00,1.600E-01
-1.0427E-01,-5.900E+00,8.000E-02
-1.0423E-01,-5.900E+00,8.000E-02
-1.0419E-01,-5.900E+00,2.191E-14
-1.0415E-01,-5.900E+00,1.600E-01
-1.0411E-01,-6.100E+00,8.000E-02
-1.0407E-01,-6.100E+00,1.600E-01
-1.0403E-01,-6.100E+00,1.600E-01
-1.0399E-01,-6.100E+00,2.191E-14
-1.0395E-01,-5.900E+00,1.600E-01
-1.0391E-01,-5.900E+00,1.600E-01
-1.0387E-01,-5.900E+00,2.191E-14
-1.0383E-01,-5.700E+00,8.000E-02
-1.0379E-01,-5.900E+00,8.000E-02
-1.0375E-01,-6.100E+00,1.600E-01
-1.0371E-01,-6.100E+00,1.600E-01
-1.0367E-01,-5.900E+00,-8.000E-02
-1.0363E-01,-6.100E+00,1.600E-01
-1.0359E-01,-5.900E+00,1.600E-01
-1.0355E-01,-5.700E+00,8.000E-02
